"Species","Plant.ID","Seed.estimate","Notes","plot","EG.adult","EG.seed","SP.adult","SP.seed","BH","BD","Avena","FEMY","BRADIS","Forb","Fabaceae","GAST","Density","BG.spp","rust","prop.dam.mini","mean.dam.mini","treat","prop.dam","mean.dam"
"SP","X883",0,"",91,1,9,1,1,12,5,25,0,16.6666666666667,53.3333333333333,7,0,100,"AB seed","0",NA,NA,"inoculation",0.333333333333333,0.000333333333333333
"EG","X890",0,"",92,2,1,1,1,640,2,5,20,90,80,13,0,80,"BH seed","0",NA,NA,"inoculation",0,0
"SP","X888",0,"",92,2,1,1,1,640,2,5,20,90,80,13,0,80,"BH seed","0",NA,NA,"inoculation",0,0
"EG","X898",0,"",93,2,7,0,1,60,5,9,10,80,16,10,0,2,"EG adults","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"SP","X896",0,"",93,2,7,0,1,60,5,9,10,80,16,10,0,2,"EG adults","0",NA,NA,"fungicide",0.666666666666667,0.000666666666666667
"EG","X900",0,"",94,0,9,1,6,18,4,22.2222222222222,20,100,12,9,0,100,"SP seed","0",NA,NA,"ambient",1,0.004
"SP","X119",0,"",94,0,9,1,6,18,4,22.2222222222222,20,100,12,9,0,100,"SP seed","0",1,0.02333333333,"ambient",0,0
"EG","X904",0,"",95,1,7,1,10,13,4,5,0,140,3,16,0,40,"SP seed","0",NA,NA,"fungicide",0.666666666666667,0.000666666666666667
"SP","X905",0,"",95,1,7,1,10,13,4,5,0,140,3,16,0,40,"SP seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"EG","X914",0,"",96,1,45,3,3,11,4,10,8,150,16.6666666666667,14,0,10,"EG seed","0",NA,NA,"fungicide",1,0.001
"SP","X913",0,"",96,1,45,3,3,11,4,10,8,150,16.6666666666667,14,0,10,"EG seed","0",NA,NA,"fungicide",1,0.001
"EG","X919",0,"",97,1,10,1,2,17,70,110,0,60,11,14,0,80,"BD seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"SP","X920",0,"",97,1,10,1,2,17,70,110,0,60,11,14,0,80,"BD seed","0",NA,NA,"fungicide",0,0
"EG","X924",0,"",98,1,1,1,1,14,2,47.2222222222222,6,15,30,4,0,20,"AB seed","0",NA,NA,"ambient",1,0.007
"SP","X922",0,"",98,1,1,1,1,14,2,47.2222222222222,6,15,30,4,0,20,"AB seed","0",NA,NA,"ambient",0.5,0.005
"EG","X928",0,"",99,1,6,1,4,9,26.6666666666667,70,0,80,120,8,0,40,"BD seed","0",NA,NA,"ambient",0.666666666666667,0.00366666666666667
"SP","X931",0,"",99,1,6,1,4,9,26.6666666666667,70,0,80,120,8,0,40,"BD seed","0",NA,NA,"ambient",0.666666666666667,0.00366666666666667
"EG","X936",0,"",100,1,2,6,2,560,38.8888888888889,27.7777777777778,10,80,200,16.6666666666667,0,100,"BD seed","0",NA,NA,"fungicide",0,0
"SP","X937",0,"",100,1,2,6,2,560,38.8888888888889,27.7777777777778,10,80,200,16.6666666666667,0,100,"BD seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"SP","X870",0,"",100,1,2,6,2,560,38.8888888888889,27.7777777777778,10,80,200,16.6666666666667,0,100,"BD seed","0",NA,NA,"fungicide",1,0.007
"SP","X938",0,"",101,8,7,1,2,33.3333333333333,11,3,0,0,2,6,0,8,"EG adults","0",NA,NA,"ambient",1,0.004
"EG","X945",0,"",102,1,7,1,0,44.4444444444444,124.444444444444,46.6666666666667,0,0,2,10,0,100,"BD seed","0",NA,NA,"fungicide",0.666666666666667,0.000666666666666667
"EG","X949",0,"",103,1,3,2,2,840,80,16.6666666666667,0,0,15,15,0,80,"BD seed","0",NA,NA,"inoculation",0.666666666666667,0.000666666666666667
"SP","X951",0,"",103,1,3,2,2,840,80,16.6666666666667,0,0,15,15,0,80,"BD seed","0",NA,NA,"inoculation",0.666666666666667,0.000666666666666667
"SP","X958",0,"",31,1,3,12,1,25,1,16.6666666666667,0,30,30,14,0,10,"SP adult","0",NA,NA,"ambient",1,0.001
